"Project name","One sentence description","Sector","Project stage","City","Country"
"Open Government Budgets and Social Audits For Kota Damansara Public Housing Community","This project is about publishing government spending as open data in constrained environment & use social audit as a tool to hold them accountable for budget priorities & policies.","Open Data and Development Inequality","It???s already been launched","Subang Jaya","Malaysia"
"Open Inheritance Art","Meaningful access to 35,000 items of private art made public for tax purposes.","Open cities","I've begun to build it","City","UK"
"OpenAQ - Connecting Open Air Quality Data with Communities","We're fighting global air inequality by building a global, yet grassroots community around the world's first open-source, open air quality data hub aggregating official data.","Open cities, Global development, Transport, Environment, Public health","It???s already been launched","Washington DC","USA"
"Outros Registros/ Other Registers","sonification of police violence in Rio de Janeiro","societal exclusion","It???s already been launched","Milton Keynes/ Rio de Janeiro","United Kingdom/ Brazil"
"PopChange","The PopChange website opens up Census data from 1971 and allows users to compare any Census population data, such as deprivation, ethnicity or health, on a map of their local area.","Open cities, Agriculture and nutrition, Transport, Environment","It???s a working prototype","Penryn, Cornwall","UK"
"Project 8","Project 8 is a global, digital information community where users contribute, find, visualize and discuss data and perspectives on sustainable development and evolving human need.","Agriculture and nutrition","It???s a working prototype","New York","USA"
"project revalidation using open source data","An initiative to establish a standard check mechanism for project site integrity and validation using Geographic information techniques ","Environment","I've chatted to some colleagues/experts about it","Aba","Nigeria"
"Promouvoir l???Ouverture des donn??es locale et am??liorer la gouvernance locale participative","Contribuer ?? la gouvernance locale participative et au suivi efficace des infrastructures, des projets et des budgets locaux ?? travers des donn??es accessibles et publiques. ","Open cities","I've begun to build it","Abidjan","C??te d'Ivoire"
"Provisions","Provisions uses open and social data to identify pressure points in food bank/resource coverage in the UK, and encourages users in those areas to assist with specific donations","Agriculture and nutrition","I've chatted to some colleagues/experts about it","Manchester","UK"
"Public-Contracts (ContrattiPubblici.org)","Creating the ultimate semantic search engine about the market for goods and services purchased by Public Administrations (starting from an Italian pilot using transparency data).","Open cities, Open government","It???s a working prototype","Torino (Turin)","Italy"
"Self-help Series: City Air Quality ","Create a platform for the collection, analysis and reporting, in a continuous and easily comprehensible manner, of air quality in the city of Tbilisi, Republic of Georgia. ","Environment","I've begun to build it","London ","UK resident, Georgian citizen "
"Smartsite and Drivernet","A new open, logistics coordination network that uses web and mobile to connect any driver or mobile worker,  to any site in smarter, safer and more sustainable ways.","Open cities, Transport","I've begun to build it","Manchester","England"
"SNEEKH","Its a health sensitisation platform to help the rural areas notified of any new health threat.","Global development, Environment","It???s just an idea","Klara","Nigeria"
"The Bio Coals ","This project consists of transforming the domestic waste into bio and durable coal. ","Finance, Environment","It???s just an idea","Abidjan ","Cote d'Ivoire "
"Virtual currency micro loans","Our project would utilize  blockchain technology to streamline and track the origination and repayment of virtual currency denominated microloans made to local entrepreneurs. ","Finance","I've chatted to some colleagues/experts about it","St. Louis, Missouri","United States"
"Yo Quiero Saber","A Crowdsourcing platform with open data of the political landscape in Argentina and others countries ","elections and open data","It???s already been launched","Buenos Aires ","Argentina "
